,gameID,playerID,decision,savePercentage,PPSave%,evenSave%,play_id,strength,gameWinningGoal,emptyNet,PKSavePercentage
6430,2016020633.0,8468685.0,L,85.18518519,66.66666667,90.0,2017020202_193,Even,False,False,100.0
6428,2015020812.0,8477202.0,L,88.46153846,70.0,100.0,2017020202_63,Even,False,False,100.0
6429,2016020633.0,8475883.0,W,94.44444444,100.0,93.10344828,2017020202_141,Power Play,False,False,100.0
6859,2016020047.0,8475660.0,W,93.93939394,100.0,92.59259259,2015020935_116,Power Play,False,False,100.0
6857,2017020406.0,8471750.0,W,94.11764706,100.0,92.59259259,2016020276_235,Even,False,False,100.0
6856,2017020406.0,8476341.0,L,94.28571429,85.71428571,96.15384615,2016020276_205,Power Play,True,False,100.0
6852,2015021068.0,8470320.0,L,93.75,100.0,93.33333333,2016020862_275,Even,False,False,100.0
6849,2017021020.0,8471418.0,W,85.71428571,85.71428571,84.0,2016020862_151,Short Handed,False,False,100.0
6847,2017021020.0,8470657.0,L,90.47619048,100.0,89.47368421,2015020245_333,Even,False,False,100.0
6871,2017020517.0,8471418.0,W,100.0,100.0,100.0,2015020719_279,Even,False,True,100.0
6845,2016021033.0,8476899.0,L,85.71428571,75.0,85.71428571,2015020245_198,Power Play,False,False,100.0
6844,2017020489.0,8477293.0,L,91.66666667,83.33333333,92.30769231,2015020245_184,Even,True,False,100.0
6840,2016020545.0,8477424.0,W,100.0,100.0,100.0,2015020825_30,Power Play,False,False,100.0
6834,2016021104.0,8474636.0,L,94.11764706,100.0,92.85714286,2017020860_18,Even,False,False,100.0
6833,2015020215.0,8475883.0,L,85.71428571,83.33333333,85.71428571,2015020159_303,Even,False,True,100.0
6832,2015020215.0,8474765.0,W,91.66666667,87.5,92.59259259,2015020159_240,Power Play,True,False,100.0
6829,2017020241.0,8471734.0,L,88.37209302,92.30769231,86.20689655,2017020919_164,Even,True,False,100.0
6865,2017020142.0,8471734.0,W,100.0,100.0,100.0,2016020762_116,Even,True,False,100.0
6874,2016020493.0,8473461.0,W,94.73684211,100.0,94.44444444,2016020374_320,Even,True,False,100.0
6476,2017020002.0,8476899.0,L,85.29411765,75.0,86.20689655,2017020242_273,Even,False,True,100.0
6894,2015020085.0,8474596.0,L,91.66666667,100.0,90.0,2015020931_297,Even,False,False,100.0
6913,2015020941.0,8474550.0,L,90.90909091,83.33333333,92.30769231,2015020178_271,Even,False,True,100.0
6910,2016020316.0,8475683.0,L,95.65217391,100.0,95.0,2015020178_231,Even,False,False,100.0
6417,2016020916.0,8467950.0,W,97.36842105,92.30769231,100.0,2016020561_48,Even,False,False,100.0
6905,2017020513.0,8471734.0,W,97.2972973,92.30769231,100.0,2015020178_93,Even,False,False,100.0
6902,2016020486.0,8475852.0,L,80.0,75.0,83.33333333,2017020852_259,Even,False,False,100.0
6900,2016020481.0,8471695.0,L,76.92307692,100.0,72.72727273,2017020852_193,Even,False,False,100.0
6897,2017021056.0,8466141.0,W,91.89189189,100.0,91.17647059,2017020852_75,Even,False,False,100.0
6893,2015020834.0,8474889.0,W,95.65217391,100.0,92.85714286,2015020931_199,Short Handed,True,False,100.0
6881,2017020700.0,8467950.0,L,91.66666667,100.0,90.625,2017020407_139,Short Handed,False,False,100.0
6891,2016020428.0,8475660.0,W,93.5483871,100.0,92.85714286,2015020931_47,Even,False,False,100.0
6890,2016020428.0,8476945.0,L,90.0,75.0,91.30434783,2015020931_41,Even,False,False,100.0
6421,2016020157.0,8473434.0,W,92.85714286,85.71428571,95.0,2016020561_147,Power Play,False,False,100.0
6426,2015020371.0,8475195.0,W,95.0,100.0,94.28571429,2017020202_29,Even,False,False,100.0
6427,2015020812.0,8473575.0,W,89.65517241,33.33333333,96.0,2017020202_32,Even,False,False,100.0
6884,2017020418.0,8471679.0,L,86.66666667,100.0,84.61538462,2017020407_266,Even,False,False,100.0
6883,2017020418.0,8474596.0,W,88.0,100.0,85.71428571,2017020407_250,Even,True,False,100.0
6828,2017020241.0,8469514.0,W,91.66666667,100.0,90.47619048,2017020919_123,Even,False,False,100.0
6827,2016020289.0,8471239.0,W,87.09677419,83.33333333,87.5,2017020919_30,Even,False,False,100.0
6446,2017021199.0,8475789.0,W,90.90909091,100.0,87.5,2015020837_140,Even,False,False,100.0
6470,2016020242.0,8476434.0,W,97.05882353,100.0,96.55172414,2017020292_200,Even,False,False,100.0
6464,2017021055.0,8477465.0,L,75.0,33.33333333,83.33333333,2017020292_15,Even,False,False,100.0
6782,2016021124.0,8474152.0,L,83.33333333,50.0,87.5,2016021108_199,Even,False,False,100.0
6469,2016020242.0,8475660.0,L,85.18518519,85.71428571,83.33333333,2017020292_182,Power Play,False,False,100.0
6772,2015020974.0,8477202.0,W,95.34883721,75.0,97.36842105,2016020033_256,Even,False,False,100.0
6771,2016021068.0,8471679.0,W,96.77419355,100.0,96.42857143,2016020033_155,Power Play,False,False,100.0
6770,2016021068.0,8467950.0,L,89.18918919,66.66666667,90.625,2016020033_113,Even,False,False,100.0
6767,2017020801.0,8471774.0,L,86.20689655,66.66666667,90.47619048,2016020383_226,Even,False,False,100.0
6472,2017020338.0,8475831.0,W,96.15384615,75.0,100.0,2017020292_340,Even,True,False,100.0
6826,2016020289.0,8473523.0,L,86.66666667,80.0,87.5,2017020179_331,Even,False,True,100.0
6755,2016020638.0,8476234.0,W,96.875,100.0,96.55172414,2016021149_112,Short Handed,False,False,100.0
6749,2015020365.0,8471227.0,W,96.77419355,80.0,100.0,2015020035_35,Even,True,False,100.0
6746,2015020673.0,8477293.0,L,82.60869565,33.33333333,89.47368421,2016020176_227,Even,False,False,100.0
6743,2017020779.0,8470147.0,W,100.0,100.0,100.0,2017020386_265,Even,False,False,100.0
6742,2017020232.0,8475883.0,W,94.59459459,85.71428571,96.55172414,2017020386_255,Even,False,False,100.0
6740,2017020683.0,8471418.0,L,90.625,100.0,87.5,2015020236_270,Even,False,False,100.0
6736,2015020271.0,8475683.0,W,95.0,100.0,93.75,2015020236_100,Even,False,False,100.0
6785,2017021079.0,8479193.0,L,87.87878788,66.66666667,92.0,2015020394_145,Even,False,False,100.0
6787,2016020651.0,8475622.0,W,100.0,100.0,100.0,2015020394_221,Power Play,False,False,100.0
6792,2015020570.0,8473541.0,W,97.5,0.0,100.0,2017020787_221,Even,False,False,100.0
